epoch=058 train_loss=0.311755 train_acc=0.9337 val_loss=0.334797 val_acc=0.9100 val_auc=0.977616
epoch=059 train_loss=0.315480 train_acc=0.9305 val_loss=0.335505 val_acc=0.9160 val_auc=0.977460
epoch=060 train_loss=0.302365 train_acc=0.9360 val_loss=0.345834 val_acc=0.9140 val_auc=0.972220
epoch=061 train_loss=0.304908 train_acc=0.9360 val_loss=0.353914 val_acc=0.8990 val_auc=0.969604
epoch=062 train_loss=0.304193 train_acc=0.9380 val_loss=0.350858 val_acc=0.8990 val_auc=0.973544
epoch=063 train_loss=0.307260 train_acc=0.9355 val_loss=0.330144 val_acc=0.9170 val_auc=0.978316
epoch=064 train_loss=0.297226 train_acc=0.9415 val_loss=0.354779 val_acc=0.9010 val_auc=0.974328
epoch=065 train_loss=0.301870 train_acc=0.9395 val_loss=0.329628 val_acc=0.9210 val_auc=0.974776
epoch=066 train_loss=0.301250 train_acc=0.9413 val_loss=0.362190 val_acc=0.8910 val_auc=0.966388
epoch=067 train_loss=0.304642 train_acc=0.9387 val_loss=0.342418 val_acc=0.9100 val_auc=0.976528
epoch=068 train_loss=0.287959 train_acc=0.9485 val_loss=0.344306 val_acc=0.9100 val_auc=0.975484
epoch=069 train_loss=0.298126 train_acc=0.9443 val_loss=0.345951 val_acc=0.9050 val_auc=0.974728
epoch=070 train_loss=0.292457 train_acc=0.9393 val_loss=0.356522 val_acc=0.9040 val_auc=0.967300
epoch=071 train_loss=0.290429 train_acc=0.9490 val_loss=0.348135 val_acc=0.9020 val_auc=0.974376
epoch=072 train_loss=0.291482 train_acc=0.9425 val_loss=0.359286 val_acc=0.9110 val_auc=0.973156
epoch=073 train_loss=0.293962 train_acc=0.9460 val_loss=0.343389 val_acc=0.9140 val_auc=0.971320
epoch=074 train_loss=0.281816 train_acc=0.9510 val_loss=0.346558 val_acc=0.9090 val_auc=0.971116
epoch=075 train_loss=0.290255 train_acc=0.9483 val_loss=0.329888 val_acc=0.9260 val_auc=0.977616
epoch=076 train_loss=0.286925 train_acc=0.9487 val_loss=0.334989 val_acc=0.9180 val_auc=0.978452
epoch=077 train_loss=0.285586 train_acc=0.9485 val_loss=0.343004 val_acc=0.9160 val_auc=0.972580
epoch=078 train_loss=0.278589 train_acc=0.9520 val_loss=0.365017 val_acc=0.9030 val_auc=0.974064
epoch=079 train_loss=0.281833 train_acc=0.9540 val_loss=0.355004 val_acc=0.9090 val_auc=0.974600
epoch=080 train_loss=0.280822 train_acc=0.9537 val_loss=0.350991 val_acc=0.9090 val_auc=0.971080
epoch=081 train_loss=0.274560 train_acc=0.9590 val_loss=0.353572 val_acc=0.9170 val_auc=0.972792
epoch=082 train_loss=0.279517 train_acc=0.9517 val_loss=0.353350 val_acc=0.9180 val_auc=0.972896
epoch=083 train_loss=0.275787 train_acc=0.9580 val_loss=0.349583 val_acc=0.9100 val_auc=0.970712
epoch=084 train_loss=0.273427 train_acc=0.9550 val_loss=0.362948 val_acc=0.9080 val_auc=0.966216
epoch=085 train_loss=0.283032 train_acc=0.9513 val_loss=0.346173 val_acc=0.9060 val_auc=0.976512
epoch=086 train_loss=0.277030 train_acc=0.9560 val_loss=0.349510 val_acc=0.9110 val_auc=0.974480
epoch=087 train_loss=0.273327 train_acc=0.9590 val_loss=0.369857 val_acc=0.9070 val_auc=0.973720
epoch=088 train_loss=0.275310 train_acc=0.9580 val_loss=0.371951 val_acc=0.9050 val_auc=0.972052
epoch=089 train_loss=0.271114 train_acc=0.9600 val_loss=0.355655 val_acc=0.9140 val_auc=0.968980
epoch=090 train_loss=0.269368 train_acc=0.9613 val_loss=0.338096 val_acc=0.9170 val_auc=0.974140
epoch=091 train_loss=0.266262 train_acc=0.9620 val_loss=0.340539 val_acc=0.9190 val_auc=0.972152
epoch=092 train_loss=0.275464 train_acc=0.9555 val_loss=0.348931 val_acc=0.9120 val_auc=0.971228
epoch=093 train_loss=0.265646 train_acc=0.9640 val_loss=0.363682 val_acc=0.9140 val_auc=0.973528
epoch=094 train_loss=0.256448 train_acc=0.9657 val_loss=0.357150 val_acc=0.9150 val_auc=0.974088
epoch=095 train_loss=0.264735 train_acc=0.9615 val_loss=0.330254 val_acc=0.9230 val_auc=0.978656
epoch=096 train_loss=0.267280 train_acc=0.9627 val_loss=0.349576 val_acc=0.9090 val_auc=0.973444
epoch=097 train_loss=0.263813 train_acc=0.9650 val_loss=0.381951 val_acc=0.9010 val_auc=0.973672
epoch=098 train_loss=0.261652 train_acc=0.9677 val_loss=0.358280 val_acc=0.9100 val_auc=0.972028
epoch=099 train_loss=0.258590 train_acc=0.9688 val_loss=0.369926 val_acc=0.9060 val_auc=0.972620
epoch=100 train_loss=0.266397 train_acc=0.9620 val_loss=0.356093 val_acc=0.9150 val_auc=0.974908
epoch=101 train_loss=0.261100 train_acc=0.9688 val_loss=0.354559 val_acc=0.9190 val_auc=0.973224
epoch=102 train_loss=0.258067 train_acc=0.9685 val_loss=0.359967 val_acc=0.9140 val_auc=0.971612
epoch=103 train_loss=0.262407 train_acc=0.9675 val_loss=0.350622 val_acc=0.9220 val_auc=0.977344
epoch=104 train_loss=0.256901 train_acc=0.9705 val_loss=0.339930 val_acc=0.9180 val_auc=0.978836
epoch=105 train_loss=0.253223 train_acc=0.9708 val_loss=0.353516 val_acc=0.9140 val_auc=0.971168
epoch=106 train_loss=0.251426 train_acc=0.9728 val_loss=0.356342 val_acc=0.9120 val_auc=0.972060
epoch=107 train_loss=0.258341 train_acc=0.9667 val_loss=0.352821 val_acc=0.9150 val_auc=0.972196
epoch=108 train_loss=0.252847 train_acc=0.9702 val_loss=0.337605 val_acc=0.9240 val_auc=0.976608
epoch=109 train_loss=0.250716 train_acc=0.9732 val_loss=0.355510 val_acc=0.9130 val_auc=0.975784
epoch=110 train_loss=0.255454 train_acc=0.9705 val_loss=0.367840 val_acc=0.9140 val_auc=0.973892
epoch=111 train_loss=0.248410 train_acc=0.9722 val_loss=0.369263 val_acc=0.9120 val_auc=0.966628
epoch=112 train_loss=0.255442 train_acc=0.9685 val_loss=0.354993 val_acc=0.9120 val_auc=0.971196
epoch=113 train_loss=0.255881 train_acc=0.9673 val_loss=0.368319 val_acc=0.9080 val_auc=0.971052
epoch=114 train_loss=0.253901 train_acc=0.9700 val_loss=0.356198 val_acc=0.9190 val_auc=0.971940
epoch=115 train_loss=0.252908 train_acc=0.9680 val_loss=0.354204 val_acc=0.9170 val_auc=0.971684
epoch=116 train_loss=0.249380 train_acc=0.9728 val_loss=0.352709 val_acc=0.9210 val_auc=0.974076
