epoch=058 train_loss=0.347369 train_acc=0.9107 val_loss=0.378424 val_acc=0.8820 val_auc=0.958728
epoch=059 train_loss=0.355436 train_acc=0.9070 val_loss=0.372804 val_acc=0.8850 val_auc=0.961192
epoch=060 train_loss=0.334061 train_acc=0.9180 val_loss=0.384998 val_acc=0.8750 val_auc=0.958176
epoch=061 train_loss=0.343752 train_acc=0.9113 val_loss=0.372740 val_acc=0.8920 val_auc=0.960916
epoch=062 train_loss=0.335964 train_acc=0.9137 val_loss=0.371361 val_acc=0.8910 val_auc=0.962496
epoch=063 train_loss=0.333718 train_acc=0.9197 val_loss=0.372081 val_acc=0.8930 val_auc=0.961364
epoch=064 train_loss=0.332732 train_acc=0.9187 val_loss=0.371731 val_acc=0.8850 val_auc=0.960956
epoch=065 train_loss=0.338707 train_acc=0.9163 val_loss=0.367987 val_acc=0.8850 val_auc=0.962044
epoch=066 train_loss=0.338892 train_acc=0.9217 val_loss=0.364875 val_acc=0.8940 val_auc=0.964916
epoch=067 train_loss=0.331294 train_acc=0.9185 val_loss=0.368761 val_acc=0.9020 val_auc=0.962632
epoch=068 train_loss=0.320513 train_acc=0.9223 val_loss=0.385025 val_acc=0.8850 val_auc=0.961524
epoch=069 train_loss=0.325571 train_acc=0.9240 val_loss=0.386674 val_acc=0.8830 val_auc=0.956396
epoch=070 train_loss=0.326208 train_acc=0.9247 val_loss=0.386716 val_acc=0.8800 val_auc=0.958676
epoch=071 train_loss=0.318342 train_acc=0.9303 val_loss=0.382060 val_acc=0.8870 val_auc=0.956344
epoch=072 train_loss=0.316204 train_acc=0.9307 val_loss=0.384447 val_acc=0.8910 val_auc=0.960692
epoch=073 train_loss=0.322775 train_acc=0.9300 val_loss=0.377261 val_acc=0.8870 val_auc=0.964816
epoch=074 train_loss=0.319861 train_acc=0.9290 val_loss=0.369944 val_acc=0.9020 val_auc=0.962696
epoch=075 train_loss=0.319155 train_acc=0.9273 val_loss=0.370732 val_acc=0.8880 val_auc=0.964008
epoch=076 train_loss=0.310640 train_acc=0.9315 val_loss=0.374532 val_acc=0.8980 val_auc=0.964020
epoch=077 train_loss=0.318217 train_acc=0.9315 val_loss=0.389047 val_acc=0.8760 val_auc=0.952236
epoch=078 train_loss=0.311357 train_acc=0.9333 val_loss=0.386140 val_acc=0.8900 val_auc=0.958628
epoch=079 train_loss=0.317755 train_acc=0.9303 val_loss=0.374060 val_acc=0.8980 val_auc=0.960696
epoch=080 train_loss=0.308905 train_acc=0.9360 val_loss=0.384420 val_acc=0.8940 val_auc=0.958464
epoch=081 train_loss=0.310386 train_acc=0.9350 val_loss=0.389788 val_acc=0.8780 val_auc=0.960044
epoch=082 train_loss=0.301646 train_acc=0.9407 val_loss=0.376942 val_acc=0.8880 val_auc=0.964012
epoch=083 train_loss=0.307148 train_acc=0.9373 val_loss=0.380113 val_acc=0.8950 val_auc=0.963324
