[Data] Mapping /root/autodl-tmp/qkzhang/SIS_data_0222/SIS_data_strain_1.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/SIS_data_0222/SIS_data_strain_2.npy ...
[Data] Mapping /root/autodl-tmp/qkzhang/Unlensed_data_0222/unlensed_data_strain.npy ...
epoch=055 train_loss=0.183888 train_acc=0.9253 val_loss=0.228118 val_acc=0.9120 val_auc=0.972996
epoch=056 train_loss=0.192643 train_acc=0.9245 val_loss=0.269628 val_acc=0.9030 val_auc=0.973952
epoch=057 train_loss=0.183647 train_acc=0.9260 val_loss=0.207825 val_acc=0.9180 val_auc=0.977436
epoch=058 train_loss=0.191318 train_acc=0.9247 val_loss=0.194087 val_acc=0.9170 val_auc=0.978848
epoch=059 train_loss=0.189081 train_acc=0.9247 val_loss=0.213371 val_acc=0.9230 val_auc=0.973280
epoch=060 train_loss=0.192041 train_acc=0.9275 val_loss=0.208514 val_acc=0.9230 val_auc=0.978556
epoch=061 train_loss=0.179439 train_acc=0.9297 val_loss=0.199903 val_acc=0.9220 val_auc=0.977928
epoch=062 train_loss=0.161910 train_acc=0.9353 val_loss=0.206218 val_acc=0.9190 val_auc=0.980336
epoch=063 train_loss=0.172102 train_acc=0.9315 val_loss=0.246071 val_acc=0.9050 val_auc=0.975560
epoch=064 train_loss=0.175713 train_acc=0.9283 val_loss=0.187167 val_acc=0.9290 val_auc=0.981514
epoch=065 train_loss=0.178677 train_acc=0.9317 val_loss=0.278762 val_acc=0.9210 val_auc=0.971764
epoch=066 train_loss=0.161408 train_acc=0.9307 val_loss=0.264653 val_acc=0.9200 val_auc=0.969982
epoch=067 train_loss=0.181847 train_acc=0.9327 val_loss=0.204078 val_acc=0.9310 val_auc=0.977368
epoch=068 train_loss=0.162126 train_acc=0.9345 val_loss=0.264226 val_acc=0.9100 val_auc=0.975612
epoch=069 train_loss=0.158018 train_acc=0.9373 val_loss=0.237141 val_acc=0.9200 val_auc=0.977832
epoch=070 train_loss=0.166966 train_acc=0.9327 val_loss=0.260315 val_acc=0.9120 val_auc=0.979804
epoch=071 train_loss=0.163851 train_acc=0.9377 val_loss=0.182710 val_acc=0.9340 val_auc=0.983544
epoch=072 train_loss=0.173777 train_acc=0.9325 val_loss=0.246407 val_acc=0.9270 val_auc=0.977412
epoch=073 train_loss=0.160599 train_acc=0.9375 val_loss=0.209736 val_acc=0.9200 val_auc=0.979964
epoch=074 train_loss=0.176333 train_acc=0.9317 val_loss=0.253716 val_acc=0.9210 val_auc=0.975824
epoch=075 train_loss=0.151470 train_acc=0.9435 val_loss=0.254011 val_acc=0.9150 val_auc=0.980096
epoch=076 train_loss=0.151585 train_acc=0.9377 val_loss=0.222867 val_acc=0.9130 val_auc=0.978388
epoch=077 train_loss=0.171949 train_acc=0.9300 val_loss=0.195954 val_acc=0.9230 val_auc=0.983524
epoch=078 train_loss=0.149605 train_acc=0.9393 val_loss=0.209866 val_acc=0.9130 val_auc=0.982276
epoch=079 train_loss=0.150876 train_acc=0.9410 val_loss=0.177424 val_acc=0.9340 val_auc=0.984012
epoch=080 train_loss=0.145428 train_acc=0.9395 val_loss=0.221094 val_acc=0.9270 val_auc=0.982620
epoch=081 train_loss=0.152678 train_acc=0.9410 val_loss=0.199445 val_acc=0.9320 val_auc=0.983000
epoch=082 train_loss=0.159273 train_acc=0.9423 val_loss=0.251900 val_acc=0.9200 val_auc=0.981364
epoch=083 train_loss=0.153771 train_acc=0.9420 val_loss=0.205331 val_acc=0.9330 val_auc=0.978184
epoch=084 train_loss=0.137244 train_acc=0.9463 val_loss=0.297744 val_acc=0.9220 val_auc=0.979980
epoch=085 train_loss=0.141610 train_acc=0.9473 val_loss=0.239895 val_acc=0.9180 val_auc=0.980812
epoch=086 train_loss=0.146893 train_acc=0.9433 val_loss=0.209247 val_acc=0.9290 val_auc=0.982608
epoch=087 train_loss=0.142748 train_acc=0.9493 val_loss=0.294359 val_acc=0.9190 val_auc=0.979044
epoch=088 train_loss=0.136185 train_acc=0.9453 val_loss=0.354080 val_acc=0.9050 val_auc=0.972200
epoch=089 train_loss=0.143698 train_acc=0.9460 val_loss=0.221516 val_acc=0.9210 val_auc=0.984856
epoch=090 train_loss=0.132855 train_acc=0.9500 val_loss=0.327964 val_acc=0.9200 val_auc=0.976612
epoch=091 train_loss=0.146448 train_acc=0.9440 val_loss=0.203891 val_acc=0.9190 val_auc=0.984276
epoch=092 train_loss=0.141500 train_acc=0.9467 val_loss=0.257972 val_acc=0.9210 val_auc=0.978564
epoch=093 train_loss=0.132170 train_acc=0.9493 val_loss=0.222769 val_acc=0.9220 val_auc=0.984796
epoch=094 train_loss=0.148890 train_acc=0.9463 val_loss=0.264036 val_acc=0.9160 val_auc=0.981184
epoch=095 train_loss=0.124511 train_acc=0.9497 val_loss=0.255362 val_acc=0.9230 val_auc=0.980700
epoch=096 train_loss=0.143814 train_acc=0.9450 val_loss=0.234669 val_acc=0.9170 val_auc=0.982892
epoch=097 train_loss=0.145511 train_acc=0.9483 val_loss=0.212569 val_acc=0.9270 val_auc=0.982884
