lens,model,variable,bin_left,bin_right,n,detected,efficiency,ci_low,ci_high,target_fpp
SIS,pi_resnet,y,0.009000000000000001,0.068,348,251,0.7212643678160919,0.6719354133609986,0.7657617259021764,0.001
SIS,pi_resnet,y,0.068,0.126,329,192,0.5835866261398176,0.5296535713092765,0.635590266387124,0.001
SIS,pi_resnet,y,0.126,0.184,372,190,0.510752688172043,0.4601049857068388,0.5611805851429078,0.001
SIS,pi_resnet,y,0.184,0.242,321,139,0.43302180685358255,0.3799252121638259,0.4877025218202924,0.001
SIS,pi_resnet,y,0.242,0.3,380,165,0.4342105263157895,0.38527963573924306,0.4844582499138106,0.001
SIS,cqt_deit,y,0.009000000000000001,0.068,348,216,0.6206896551724138,0.5686546834742525,0.6700892106692975,0.001
SIS,cqt_deit,y,0.068,0.126,329,138,0.4194528875379939,0.3673604696932552,0.47340455943566784,0.001
SIS,cqt_deit,y,0.126,0.184,372,137,0.3682795698924731,0.3208435552726612,0.41840820181794325,0.001
SIS,cqt_deit,y,0.184,0.242,321,86,0.26791277258566976,0.22241876721453846,0.31889593891647605,0.001
SIS,cqt_deit,y,0.242,0.3,380,83,0.21842105263157896,0.1798092776078593,0.2626688729872099,0.001
SIS,pi_resnet,flux_ratio,1.0190000000000001,1.135,321,234,0.7289719626168224,0.6778519744689727,0.7746764698178786,0.001
SIS,pi_resnet,flux_ratio,1.135,1.293,364,213,0.5851648351648352,0.533918143080868,0.6346327326109941,0.001
SIS,pi_resnet,flux_ratio,1.293,1.454,367,185,0.5040871934604905,0.4531575333562402,0.554932177027114,0.001
SIS,pi_resnet,flux_ratio,1.454,1.63,310,137,0.44193548387096776,0.3876983251729906,0.49759407648969817,0.001
SIS,pi_resnet,flux_ratio,1.63,1.855,385,166,0.43116883116883115,0.3826201026495353,0.4810775592182548,0.001
SIS,cqt_deit,flux_ratio,1.0190000000000001,1.135,321,200,0.6230529595015576,0.5688771587127551,0.6743183997815391,0.001
SIS,cqt_deit,flux_ratio,1.135,1.293,364,155,0.4258241758241758,0.3760621695072824,0.47713545489012804,0.001
SIS,cqt_deit,flux_ratio,1.293,1.454,367,136,0.37057220708446864,0.3227401326671788,0.4210857051932705,0.001
SIS,cqt_deit,flux_ratio,1.454,1.63,310,85,0.27419354838709675,0.2275250270904087,0.3263898682644919,0.001
SIS,cqt_deit,flux_ratio,1.63,1.855,385,82,0.21298701298701297,0.1750299177020185,0.25661504970895554,0.001
SIS,pi_resnet,rho_min,3.302,41.925,381,44,0.11548556430446194,0.0871621053675376,0.15148541224174636,0.001
SIS,pi_resnet,rho_min,41.925,67.281,322,103,0.3198757763975155,0.27131062206658685,0.3726880255584438,0.001
SIS,pi_resnet,rho_min,67.281,104.0,366,212,0.5792349726775956,0.5280914024812626,0.628732551720474,0.001
SIS,pi_resnet,rho_min,104.0,174.242,345,265,0.7681159420289855,0.7207774541237071,0.8095494187927679,0.001
SIS,pi_resnet,rho_min,174.242,1124.78,328,310,0.9451219512195121,0.9149298228158445,0.9650084496282207,0.001
SIS,cqt_deit,rho_min,3.302,41.925,381,8,0.02099737532808399,0.01067726068254801,0.04088022712423916,0.001
SIS,cqt_deit,rho_min,41.925,67.281,322,38,0.11801242236024845,0.08719753030768344,0.1578340844833298,0.001
SIS,cqt_deit,rho_min,67.281,104.0,366,131,0.35792349726775957,0.3105197077379052,0.40827871921070485,0.001
SIS,cqt_deit,rho_min,104.0,174.242,345,200,0.5797101449275363,0.5270268220708356,0.6306379239313598,0.001
SIS,cqt_deit,rho_min,174.242,1124.78,328,280,0.8536585365853658,0.811316335480589,0.8878127028996272,0.001
