target_lens,checkpoint_lens,model,within_auc,cross_auc,auc_change_cross_minus_within,within_ap,cross_ap,within_threshold_1e3,cross_threshold_1e3,within_achieved_fpp,cross_achieved_fpp,within_efficiency,cross_efficiency,efficiency_change_cross_minus_within,efficiency_change_ci
SIS,PM,pi_resnet,0.9887691085714285,0.9895114628571429,0.0007423542857143417,0.800116653506431,0.7003339228405712,0.9981431716530528,0.9999699183984226,0.00085,0.00105,0.5354285714285715,0.22057142857142858,-0.3148571428571429,"[-0.34514285714285714, -0.2874285714285714]"
SIS,PM,cqt_deit,0.9767040028571428,0.9742131742857142,-0.0024908285714285716,0.6571786412964072,0.5231877024202315,0.9438525,0.9605137,0.00119,0.00091,0.37714285714285717,0.1697142857142857,-0.20742857142857146,"[-0.22285714285714286, -0.19085714285714286]"
PM,SIS,pi_resnet,0.9852196085714287,0.9821073314285714,-0.0031122771428572227,0.6877096482761246,0.7266843327359374,0.9999204273671976,0.9992272228452972,0.00063,0.00074,0.22742857142857142,0.3977142857142857,0.17028571428571426,"[0.15485714285714286, 0.18742857142857142]"
PM,SIS,cqt_deit,0.9612417857142856,0.9668981514285715,0.005656365714285849,0.418047963862445,0.5841297548821707,0.9609393,0.9421239,0.00079,0.00099,0.09257142857142857,0.3137142857142857,0.22114285714285714,"[0.2017142857142857, 0.24]"
