lens,model,matched_efficiency,ci_low,ci_high,n,effective_sample_size
SIS,pi_resnet,0.4733487534373768,0.4527247073931213,0.49698873059403886,1647,1155.5192182996673
SIS,cqt_deit,0.3287349584159322,0.31057419863743674,0.3471607456818125,1647,1155.5192182996673
PM,pi_resnet,0.2532199636916037,0.23646596617785726,0.27226547858161143,1643,1467.5524920221146
PM,cqt_deit,0.09936982833836511,0.08608221457628996,0.11265791455054056,1643,1467.5524920221146
