lens,model,n_common_support,common_cells,weighted_efficiency,weighted_mean_score,unweighted_efficiency_common_support
SIS,pi_resnet,1647,53,0.4733487534373768,0.7321359570482656,0.5421979356405586
SIS,cqt_deit,1647,53,0.3287349584159322,0.8355759932088964,0.3782635094110504
PM,pi_resnet,1643,53,0.2532199636916037,0.8770353018521694,0.2325015216068168
PM,cqt_deit,1643,53,0.09936982833836511,0.8752633549614832,0.09494826536822885
